,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,Casual,Registered,All,seasons,day,weather,month,year
72,73,2011-03-14,1,0,3,0,1,Working Day,1,13.3,16.6,49.7,13.7,359,1687,2046,Springer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
73,74,2011-03-15,1,0,3,0,2,Working Day,2,13.0,15.9,65.6,18.4,289,1767,2056,Springer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
74,75,2011-03-16,1,0,3,0,3,Working Day,2,15.0,18.3,77.7,20.3,321,1871,2192,Springer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
75,76,2011-03-17,1,0,3,0,4,Working Day,1,17.0,20.5,60.3,21.0,424,2320,2744,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
76,77,2011-03-18,1,0,3,0,5,Working Day,1,22.1,26.4,52.5,23.1,884,2355,3239,Springer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
77,78,2011-03-19,1,0,3,0,6,Not Working Day,1,19.4,23.3,37.9,36.8,1424,1693,3117,Springer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
78,79,2011-03-20,1,0,3,0,0,Not Working Day,1,13.6,16.3,47.4,20.8,1047,1424,2471,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
79,80,2011-03-21,2,0,3,0,1,Working Day,2,17.6,20.5,73.7,28.9,401,1676,2077,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
80,81,2011-03-22,2,0,3,0,2,Working Day,1,18.1,22.0,62.5,22.6,460,2243,2703,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
81,82,2011-03-23,2,0,3,0,3,Working Day,2,14.2,16.9,84.0,23.4,203,1918,2121,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
82,83,2011-03-24,2,0,3,0,4,Working Day,2,11.7,13.5,80.6,24.4,166,1699,1865,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
83,84,2011-03-25,2,0,3,0,5,Working Day,1,10.8,12.8,49.5,23.1,300,1910,2210,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
84,85,2011-03-26,2,0,3,0,6,Not Working Day,1,10.9,12.9,39.4,21.0,981,1515,2496,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
85,86,2011-03-27,2,0,3,0,0,Not Working Day,2,10.4,12.5,49.4,18.4,472,1221,1693,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
86,87,2011-03-28,2,0,3,0,1,Working Day,1,10.8,12.9,30.2,21.2,222,1806,2028,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
87,88,2011-03-29,2,0,3,0,2,Working Day,1,12.4,14.6,31.4,22.7,317,2108,2425,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
88,89,2011-03-30,2,0,3,0,3,Working Day,2,12.3,14.9,64.7,17.3,168,1368,1536,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
89,90,2011-03-31,2,0,3,0,4,Working Day,3,11.0,12.9,91.8,21.8,179,1506,1685,Summer,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",March,2011
90,91,2011-04-01,2,0,4,0,5,Working Day,2,12.3,14.2,68.6,25.9,307,1920,2227,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
91,92,2011-04-02,2,0,4,0,6,Not Working Day,2,12.9,15.8,65.4,19.7,898,1354,2252,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
92,93,2011-04-03,2,0,4,0,0,Not Working Day,1,15.5,18.9,48.0,18.2,1651,1598,3249,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
93,94,2011-04-04,2,0,4,0,1,Working Day,1,23.5,27.1,42.6,38.6,734,2381,3115,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
94,95,2011-04-05,2,0,4,0,2,Working Day,2,17.0,19.9,64.2,38.8,167,1628,1795,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
95,96,2011-04-06,2,0,4,0,3,Working Day,1,16.0,19.4,47.1,26.3,413,2395,2808,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
96,97,2011-04-07,2,0,4,0,4,Working Day,1,17.9,21.7,60.3,16.2,571,2570,3141,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
97,98,2011-04-08,2,0,4,0,5,Working Day,2,13.8,16.2,83.6,22.7,172,1299,1471,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
98,99,2011-04-09,2,0,4,0,6,Not Working Day,2,14.0,17.1,87.8,13.3,879,1576,2455,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
99,100,2011-04-10,2,0,4,0,0,Not Working Day,2,17.5,21.3,85.8,14.7,1188,1707,2895,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
100,101,2011-04-11,2,0,4,0,1,Working Day,2,24.4,28.3,71.7,32.4,855,2493,3348,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
101,102,2011-04-12,2,0,4,0,2,Working Day,2,20.6,24.7,73.9,27.5,257,1777,2034,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
102,103,2011-04-13,2,0,4,0,3,Working Day,2,16.9,20.9,81.9,25.1,209,1953,2162,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
103,104,2011-04-14,2,0,4,0,4,Working Day,1,19.2,23.1,54.0,11.1,529,2738,3267,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
104,105,2011-04-15,2,0,4,1,5,Not Working Day,1,18.3,22.1,67.1,22.6,642,2484,3126,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
105,106,2011-04-16,2,0,4,0,6,Not Working Day,3,17.7,21.3,88.8,34.1,121,674,795,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",April,2011
106,107,2011-04-17,2,0,4,0,0,Not Working Day,1,18.7,22.3,48.0,30.3,1558,2186,3744,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
107,108,2011-04-18,2,0,4,0,1,Working Day,1,21.0,25.2,54.2,16.4,669,2760,3429,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
108,109,2011-04-19,2,0,4,0,2,Working Day,2,20.7,24.5,66.6,15.8,409,2795,3204,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
109,110,2011-04-20,2,0,4,0,3,Working Day,1,24.4,28.2,61.4,24.2,613,3331,3944,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
110,111,2011-04-21,2,0,4,0,4,Working Day,1,18.8,22.7,40.7,32.5,745,3444,4189,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
111,112,2011-04-22,2,0,4,0,5,Working Day,2,13.8,16.1,73.0,22.0,177,1506,1683,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
112,113,2011-04-23,2,0,4,0,6,Not Working Day,2,18.9,22.5,88.8,23.1,1462,2574,4036,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
113,114,2011-04-24,2,0,4,0,0,Not Working Day,2,23.8,27.6,81.1,19.2,1710,2481,4191,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
114,115,2011-04-25,2,0,4,0,1,Working Day,1,24.9,28.7,77.7,18.5,773,3300,4073,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
115,116,2011-04-26,2,0,4,0,2,Working Day,1,25.9,29.7,72.9,32.6,678,3722,4400,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
116,117,2011-04-27,2,0,4,0,3,Working Day,2,25.4,28.8,83.5,31.2,547,3325,3872,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
117,118,2011-04-28,2,0,4,0,4,Working Day,2,25.3,28.9,70.1,32.1,569,3489,4058,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",April,2011
118,119,2011-04-29,2,0,4,0,5,Working Day,1,20.9,24.9,45.7,24.0,878,3717,4595,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
119,120,2011-04-30,2,0,4,0,6,Not Working Day,1,19.4,23.2,50.3,23.5,1965,3347,5312,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",April,2011
120,121,2011-05-01,2,0,5,0,0,Not Working Day,2,18.5,22.4,76.2,10.6,1138,2213,3351,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
121,122,2011-05-02,2,0,5,0,1,Working Day,2,22.5,26.6,73.0,18.3,847,3554,4401,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
122,123,2011-05-03,2,0,5,0,2,Working Day,2,25.3,29.1,69.7,34.3,603,3848,4451,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
123,124,2011-05-04,2,0,5,0,3,Working Day,2,17.0,20.2,73.7,32.9,255,2378,2633,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
124,125,2011-05-05,2,0,5,0,4,Working Day,1,18.8,22.1,44.4,29.5,614,3819,4433,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
125,126,2011-05-06,2,0,5,0,5,Working Day,1,19.6,23.7,59.0,22.8,894,3714,4608,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
126,127,2011-05-07,2,0,5,0,6,Not Working Day,1,21.3,25.6,54.1,16.0,1612,3102,4714,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
127,128,2011-05-08,2,0,5,0,0,Not Working Day,1,21.7,25.9,63.2,7.5,1401,2932,4333,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
128,129,2011-05-09,2,0,5,0,1,Working Day,1,21.8,26.3,58.9,17.6,664,3698,4362,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
129,130,2011-05-10,2,0,5,0,2,Working Day,1,21.8,26.1,48.9,11.6,694,4109,4803,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
130,131,2011-05-11,2,0,5,0,3,Working Day,1,22.2,26.4,63.3,12.1,550,3632,4182,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
131,132,2011-05-12,2,0,5,0,4,Working Day,1,21.9,26.2,74.8,19.0,695,4169,4864,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
132,133,2011-05-13,2,0,5,0,5,Working Day,2,21.0,24.7,86.3,18.0,692,3413,4105,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
133,134,2011-05-14,2,0,5,0,6,Not Working Day,2,21.4,25.0,92.2,13.5,902,2507,3409,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
134,135,2011-05-15,2,0,5,0,0,Not Working Day,2,23.1,26.8,86.7,15.3,1582,2971,4553,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
135,136,2011-05-16,2,0,5,0,1,Working Day,1,23.7,27.5,78.8,12.7,773,3185,3958,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
136,137,2011-05-17,2,0,5,0,2,Working Day,2,23.0,26.9,83.8,27.7,678,3445,4123,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
137,138,2011-05-18,2,0,5,0,3,Working Day,2,22.6,26.4,87.0,20.1,536,3319,3855,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
138,139,2011-05-19,2,0,5,0,4,Working Day,2,21.8,25.5,83.0,10.8,735,3840,4575,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",May,2011
139,140,2011-05-20,2,0,5,0,5,Working Day,1,22.0,26.5,72.0,12.5,909,4008,4917,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
140,141,2011-05-21,2,0,5,0,6,Not Working Day,1,24.7,28.6,62.7,12.1,2258,3547,5805,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",May,2011
